combination_id,k,thrshld,p1,p2,beta,seeds,primary_delta_star,num_intersections,status,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5
1796,12,3,0.5,0.5,7,3,,0,not_found,0,None,,,Random,,,,,
1802,12,3,0.5,0.7,3,3,,0,not_found,0,None,,,Random,,,,,
1799,12,3,0.5,0.6,5,3,,0,not_found,0,None,,,Random,,,,,
1805,12,3,0.5,0.8,1,3,,0,not_found,0,None,,,Random,,,,,
1800,12,3,0.5,0.6,7,3,,0,not_found,0,None,,,Random,,,,,
1803,12,3,0.5,0.7,5,3,,0,not_found,0,None,,,Random,,,,,
1806,12,3,0.5,0.8,3,3,,0,not_found,0,None,,,Random,,,,,
1809,12,3,0.5,0.9,1,3,,0,not_found,0,None,,,Random,,,,,
1804,12,3,0.5,0.7,7,3,,0,not_found,0,None,,,Random,,,,,
1810,12,3,0.5,0.9,3,3,,0,not_found,0,None,,,Random,,,,,
1813,12,3,0.5,1,1,3,,0,not_found,0,None,,,Random,,,,,
1807,12,3,0.5,0.8,5,3,,0,not_found,0,None,,,Random,,,,,
1808,12,3,0.5,0.8,7,3,,0,not_found,0,None,,,Random,,,,,
1814,12,3,0.5,1,3,3,,0,not_found,0,None,,,Random,,,,,
1817,12,3,0.6,4,1,3,,0,not_found,0,None,,,Random,,,,,
1811,12,3,0.5,0.9,5,3,,0,not_found,0,None,,,Random,,,,,
1812,12,3,0.5,0.9,7,3,,0,not_found,0,None,,,Random,,,,,
1818,12,3,0.6,4,3,3,,0,not_found,0,None,,,Random,,,,,
1815,12,3,0.5,1,5,3,,0,not_found,0,None,,,Random,,,,,
1821,12,3,0.6,0.6,1,3,,0,not_found,0,None,,,Random,,,,,
1816,12,3,0.5,1,7,3,,0,not_found,0,None,,,Random,,,,,
1822,12,3,0.6,0.6,3,3,,0,not_found,0,None,,,Random,,,,,
1825,12,3,0.6,0.7,1,3,,0,not_found,0,None,,,Random,,,,,
1819,12,3,0.6,4,5,3,,0,not_found,0,None,,,Random,,,,,
1820,12,3,0.6,4,7,3,,0,not_found,0,None,,,Random,,,,,
1826,12,3,0.6,0.7,3,3,,0,not_found,0,None,,,Random,,,,,
1823,12,3,0.6,0.6,5,3,,0,not_found,0,None,,,Random,,,,,
1829,12,3,0.6,0.8,1,3,,0,not_found,0,None,,,Random,,,,,
1824,12,3,0.6,0.6,7,3,,0,not_found,0,None,,,Random,,,,,
1830,12,3,0.6,0.8,3,3,,0,not_found,0,None,,,Random,,,,,
1827,12,3,0.6,0.7,5,3,,0,not_found,0,None,,,Random,,,,,
1833,12,3,0.6,0.9,1,3,,0,not_found,0,None,,,Random,,,,,
1828,12,3,0.6,0.7,7,3,,0,not_found,0,None,,,Random,,,,,
1834,12,3,0.6,0.9,3,3,,0,not_found,0,None,,,Random,,,,,
1831,12,3,0.6,0.8,5,3,,0,not_found,0,None,,,Random,,,,,
1837,12,3,0.6,1,1,3,,0,not_found,0,None,,,Random,,,,,
1832,12,3,0.6,0.8,7,3,,0,not_found,0,None,,,Random,,,,,
1838,12,3,0.6,1,3,3,,0,not_found,0,None,,,Random,,,,,
1835,12,3,0.6,0.9,5,3,,0,not_found,0,None,,,Random,,,,,
1841,12,3,0.7,4,1,3,,0,not_found,0,None,,,Random,,,,,
1836,12,3,0.6,0.9,7,3,,0,not_found,0,None,,,Random,,,,,
1839,12,3,0.6,1,5,3,,0,not_found,0,None,,,Random,,,,,
1842,12,3,0.7,4,3,3,,0,not_found,0,None,,,Random,,,,,
1845,12,3,0.7,0.7,1,3,,0,not_found,0,None,,,Random,,,,,
1840,12,3,0.6,1,7,3,,0,not_found,0,None,,,Random,,,,,
1843,12,3,0.7,4,5,3,,0,not_found,0,None,,,Random,,,,,
1846,12,3,0.7,0.7,3,3,,0,not_found,0,None,,,Random,,,,,
1849,12,3,0.7,0.8,1,3,,0,not_found,0,None,,,Random,,,,,
1844,12,3,0.7,4,7,3,,0,not_found,0,None,,,Random,,,,,
1850,12,3,0.7,0.8,3,3,,0,not_found,0,None,,,Random,,,,,
1847,12,3,0.7,0.7,5,3,,0,not_found,0,None,,,Random,,,,,
1853,12,3,0.7,0.9,1,3,,0,not_found,0,None,,,Random,,,,,
1848,12,3,0.7,0.7,7,3,,0,not_found,0,None,,,Random,,,,,
1854,12,3,0.7,0.9,3,3,,0,not_found,0,None,,,Random,,,,,
1851,12,3,0.7,0.8,5,3,,0,not_found,0,None,,,Random,,,,,
1857,12,3,0.7,1,1,3,,0,not_found,0,None,,,Random,,,,,
1858,12,3,0.7,1,3,3,,0,not_found,0,None,,,Random,,,,,
1855,12,3,0.7,0.9,5,3,,0,not_found,0,None,,,Random,,,,,
1852,12,3,0.7,0.8,7,3,,0,not_found,0,None,,,Random,,,,,
1861,12,3,0.8,4,1,3,,0,not_found,0,None,,,Random,,,,,
1856,12,3,0.7,0.9,7,3,,0,not_found,0,None,,,Random,,,,,
1862,12,3,0.8,4,3,3,,0,not_found,0,None,,,Random,,,,,
1859,12,3,0.7,1,5,3,,0,not_found,0,None,,,Random,,,,,
1865,12,3,0.8,0.8,1,3,,0,not_found,0,None,,,Random,,,,,
1860,12,3,0.7,1,7,3,,0,not_found,0,None,,,Random,,,,,
1866,12,3,0.8,0.8,3,3,,0,not_found,0,None,,,Random,,,,,
1869,12,3,0.8,0.9,1,3,,0,not_found,0,None,,,Random,,,,,
1863,12,3,0.8,4,5,3,,0,not_found,0,None,,,Random,,,,,
1864,12,3,0.8,4,7,3,,0,not_found,0,None,,,Random,,,,,
1870,12,3,0.8,0.9,3,3,,0,not_found,0,None,,,Random,,,,,
1867,12,3,0.8,0.8,5,3,,0,not_found,0,None,,,Random,,,,,
1873,12,3,0.8,1,1,3,,0,not_found,0,None,,,Random,,,,,
1868,12,3,0.8,0.8,7,3,,0,not_found,0,None,,,Random,,,,,
1874,12,3,0.8,1,3,3,,0,not_found,0,None,,,Random,,,,,
1871,12,3,0.8,0.9,5,3,,0,not_found,0,None,,,Random,,,,,
1877,12,3,0.9,4,1,3,,0,not_found,0,None,,,Random,,,,,
1872,12,3,0.8,0.9,7,3,,0,not_found,0,None,,,Random,,,,,
1878,12,3,0.9,4,3,3,,0,not_found,0,None,,,Random,,,,,
1875,12,3,0.8,1,5,3,,0,not_found,0,None,,,Random,,,,,
1881,12,3,0.9,0.9,1,3,,0,not_found,0,None,,,Random,,,,,
1876,12,3,0.8,1,7,3,,0,not_found,0,None,,,Random,,,,,
1882,12,3,0.9,0.9,3,3,,0,not_found,0,None,,,Random,,,,,
1879,12,3,0.9,4,5,3,,0,not_found,0,None,,,Random,,,,,
1885,12,3,0.9,1,1,3,,0,not_found,0,None,,,Random,,,,,
1886,12,3,0.9,1,3,3,,0,not_found,0,None,,,Random,,,,,
1880,12,3,0.9,4,7,3,,0,not_found,0,None,,,Random,,,,,
