delta,V_clustered_mean,V_clustered_se,V_random_mean,V_random_se,difference,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant
0.014,0.028194349515258392,2.0563299751850633e-05,0.028074589760000025,1.5602927779479406e-05,-0.0001197597552583668,0,None,,,Clustered
0.015,0.030223293133515367,2.3622660299999026e-05,0.030085635000000003,1.7914087975668727e-05,-0.00013765813351536427,0,None,,,Clustered
0.016,0.032254271931465114,2.689653053390288e-05,0.03209744384000002,2.0385170224795443e-05,-0.00015682809146509713,0,None,,,Clustered
0.017,0.03428729102125092,3.0385375677874583e-05,0.034110016520000015,2.30162436856449e-05,-0.00017727450125090694,0,None,,,Clustered
0.018000000000000002,0.03632235552783962,3.408966298271563e-05,0.03612335328000003,2.5807377612691064e-05,-0.0001990022478395928,0,None,,,Clustered
0.019,0.03835947058907422,3.800986173362449e-05,0.038137454360000024,2.8758641356027363e-05,-0.0002220162290741956,0,None,,,Clustered
0.02,0.04039864135572687,4.214644325814688e-05,0.04015232000000001,3.187010436129753e-05,-0.0002463213557268584,0,None,,,Clustered
0.021,0.042439872991551525,4.649988093417185e-05,0.04216795044,3.514183616962725e-05,-0.0002719225515515275,0,None,,,Clustered
0.022,0.04448317067333733,5.1070650197976545e-05,0.044184345920000014,3.8573906417554646e-05,-0.0002988247533373192,0,None,,,Clustered
0.023,0.04652853959096159,5.585922855231482e-05,0.04620150668000001,4.216638483696183e-05,-0.0003270329109615819,0,None,,,Clustered
0.024,0.04857598494744332,6.086609557454993e-05,0.048219432960000023,4.5919341255004654e-05,-0.00035655198744329736,0,None,,,Clustered
0.025,0.05062551195899663,6.609173292483955e-05,0.05023812500000001,4.983284559404572e-05,-0.0003873869589966217,0,None,,,Clustered
0.026000000000000002,0.05267712585508467,7.15366243543609e-05,0.05225758304000002,5.390696787158389e-05,-0.0004195428150846475,0,None,,,Clustered
0.027,0.05473083187847301,7.720125571358683e-05,0.05427780732,5.8141778200185435e-05,-0.0004530245584730072,0,None,,,Clustered
0.028,0.056786635285284125,8.30861149606058e-05,0.05629879808000001,6.25373467874155e-05,-0.000487837205284114,0,None,,,Clustered
0.029,0.05884454134505107,8.919169216949168e-05,0.058320555560000015,6.7093743935769e-05,-0.0005239857850510565,0,None,,,Clustered
0.03,0.060904555340772104,9.55184795387176e-05,0.060343080000000035,7.18110400426006e-05,-0.0005614753407720691,0,None,,,Clustered
0.031,0.06296668256896487,0.00010206697139962038,0.062366371639999994,7.668930560005761e-05,-0.000600310928964877,0,None,,,Clustered
0.032,0.06503092833972123,0.00010883766422490941,0.06439043072000004,8.172861119500808e-05,-0.0006404976197211809,0,None,,,Clustered
0.033,0.06709729797676171,0.00011583105663722549,0.06641525747999999,8.692902750897567e-05,-0.0006820404967617238,0,None,,,Clustered
0.034,0.06916579681749079,0.0001230476494177443,0.06844085216000002,9.229062531806533e-05,-0.0007249446574907614,0,None,,,Clustered
0.035,0.07123643021305144,0.00013048794551483284,0.070467215,9.78134754928993e-05,-0.0007692152130514412,0,None,,,Clustered
0.036000000000000004,0.0733092035283809,0.00013815245005275025,0.07249434624000005,0.00010349764899854536,-0.0008148572883808491,0,None,,,Clustered
0.037,0.07538412214226556,0.00014604167034039508,0.07452224611999993,0.00010934321689444696,-0.0008618760222656313,0,None,,,Clustered
0.038,0.07746119144739701,0.00015415611588010775,0.07655091488000001,0.00011535025033435737,-0.000910276567396992,0,None,,,Clustered
0.039,0.07954041685042708,0.0001624962983765146,0.07858035275999999,0.00012151882056626622,-0.000960064090427093,0,None,,,Clustered
0.04,0.08162180377202435,0.00017106273174542427,0.08061056000000001,0.00012784899893233416,-0.0010112437720243422,0,None,,,Clustered
0.041,0.08370535764692971,0.00017985593212277602,0.08264153683999995,0.00013434085686882136,-0.001063820806929766,0,None,,,Clustered
0.042,0.0857910839240129,0.00018887641787362653,0.08467328352000003,0.00014099446590601854,-0.001117800404012867,0,None,,,Clustered
0.043000000000000003,0.08787898806632839,0.0001981247096011993,0.08670580027999997,0.00014780989766817972,-0.0011731877863284251,0,None,,,Clustered
0.044,0.08996907555117235,0.00020760133015597346,0.08873908736000001,0.0001547872238734494,-0.0012299881911723431,0,None,,,Clustered
0.045,0.09206135187013915,0.0002173068046448298,0.09077314499999994,0.00016192651633379864,-0.0012882068701392108,0,None,,,Clustered
0.046,0.09415582252917815,0.00022724166044023976,0.09280797344,0.00016922784695495085,-0.0013478490891781492,0,None,,,Clustered
